producto,fecha,promedio,clave,unidad,mayorista,minimo,maximo,moda
Aguacate Hass de Costa Rica,2025-08-08,1700.0,Aguacate Hass de Costa Rica2025-08-08,Kilo,Kilo,1500.0,1800.0,1800.0
Aguacate Hass de Costa Rica,2025-08-11,1800.0,Aguacate Hass de Costa Rica2025-08-11,Kilo,Kilo,1800.0,1800.0,1800.0
Aguacate Hass de Costa Rica,2025-08-13,1600.0,Aguacate Hass de Costa Rica2025-08-13,Kilo,Kilo,1400.0,1800.0,1600.0
Aguacate Hass de Costa Rica,2025-08-15,1683.33,Aguacate Hass de Costa Rica2025-08-15,Kilo,Kilo,1600.0,1800.0,1600.0
Aguacate Hass de Costa Rica,2025-08-18,1552.38,Aguacate Hass de Costa Rica2025-08-18,Kilo,Kilo,1300.0,1800.0,1400.0
Aguacate criollo,2025-08-08,409.09,Aguacate criollo2025-08-08,Unidad,Unidad,300.0,600.0,400.0
Aguacate criollo,2025-08-14,337.5,Aguacate criollo2025-08-14,Unidad,Unidad,300.0,350.0,350.0
Aguacate criollo,2025-08-15,466.67,Aguacate criollo2025-08-15,Unidad,Unidad,400.0,500.0,500.0
Apio verde (mata),2025-08-01,1400.0,Apio verde (mata)2025-08-01,Mata,Mata,1200.0,1500.0,1500.0
Apio verde (mata),2025-08-04,1316.67,Apio verde (mata)2025-08-04,Mata,Mata,1200.0,1500.0,1200.0
Apio verde (mata),2025-08-05,1341.67,Apio verde (mata)2025-08-05,Mata,Mata,1200.0,1500.0,1400.0
Apio verde (mata),2025-08-06,1340.0,Apio verde (mata)2025-08-06,Mata,Mata,1200.0,1500.0,1400.0
Apio verde (mata),2025-08-07,1414.29,Apio verde (mata)2025-08-07,Mata,Mata,1200.0,1500.0,1500.0
Apio verde (mata),2025-08-08,1381.82,Apio verde (mata)2025-08-08,Mata,Mata,1200.0,1500.0,1500.0
Apio verde (mata),2025-08-11,1360.0,Apio verde (mata)2025-08-11,Mata,Mata,1200.0,1500.0,1500.0
Apio verde (mata),2025-08-12,1370.0,Apio verde (mata)2025-08-12,Mata,Mata,1200.0,1500.0,1500.0
Apio verde (mata),2025-08-13,1328.57,Apio verde (mata)2025-08-13,Mata,Mata,1200.0,1500.0,1300.0
Apio verde (mata),2025-08-14,1230.0,Apio verde (mata)2025-08-14,Mata,Mata,1000.0,1400.0,1300.0
Apio verde (mata),2025-08-15,1330.0,Apio verde (mata)2025-08-15,Mata,Mata,1200.0,1500.0,1300.0
Apio verde (mata),2025-08-18,1306.67,Apio verde (mata)2025-08-18,Mata,Mata,1200.0,1500.0,1200.0
Apio verde (mata),2025-08-19,1364.29,Apio verde (mata)2025-08-19,Mata,Mata,1200.0,1500.0,1500.0
Ayote sazón,2025-08-01,335.71,Ayote sazón2025-08-01,Kilo,Kilo,300.0,350.0,350.0
Ayote sazón,2025-08-04,306.25,Ayote sazón2025-08-04,Kilo,Kilo,250.0,350.0,300.0
Ayote sazón,2025-08-05,341.67,Ayote sazón2025-08-05,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-06,350.0,Ayote sazón2025-08-06,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-07,346.88,Ayote sazón2025-08-07,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-08,350.0,Ayote sazón2025-08-08,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-11,339.47,Ayote sazón2025-08-11,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-12,337.5,Ayote sazón2025-08-12,Kilo,Kilo,300.0,350.0,350.0
Ayote sazón,2025-08-13,335.71,Ayote sazón2025-08-13,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-14,330.77,Ayote sazón2025-08-14,Kilo,Kilo,300.0,350.0,350.0
Ayote sazón,2025-08-15,313.33,Ayote sazón2025-08-15,Kilo,Kilo,250.0,350.0,300.0
Ayote sazón,2025-08-18,340.63,Ayote sazón2025-08-18,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón,2025-08-19,337.5,Ayote sazón2025-08-19,Kilo,Kilo,300.0,400.0,350.0
Ayote sazón mantequilla,2025-08-01,614.29,Ayote sazón mantequilla2025-08-01,Kilo,Kilo,500.0,700.0,600.0
Ayote sazón mantequilla,2025-08-04,692.86,Ayote sazón mantequilla2025-08-04,Kilo,Kilo,600.0,800.0,600.0
Ayote sazón mantequilla,2025-08-06,622.22,Ayote sazón mantequilla2025-08-06,Kilo,Kilo,600.0,700.0,600.0
Ayote sazón mantequilla,2025-08-08,657.14,Ayote sazón mantequilla2025-08-08,Kilo,Kilo,600.0,700.0,700.0
Ayote sazón mantequilla,2025-08-11,640.0,Ayote sazón mantequilla2025-08-11,Kilo,Kilo,600.0,700.0,600.0
Ayote sazón mantequilla,2025-08-13,700.0,Ayote sazón mantequilla2025-08-13,Kilo,Kilo,600.0,800.0,700.0
Ayote sazón mantequilla,2025-08-15,638.89,Ayote sazón mantequilla2025-08-15,Kilo,Kilo,600.0,700.0,600.0
Ayote sazón mantequilla,2025-08-18,683.33,Ayote sazón mantequilla2025-08-18,Kilo,Kilo,600.0,800.0,600.0
Ayote tierno,2025-08-01,512.5,Ayote tierno2025-08-01,Unidad,Unidad,500.0,550.0,500.0
Ayote tierno,2025-08-04,575.0,Ayote tierno2025-08-04,Unidad,Unidad,500.0,700.0,600.0
Ayote tierno,2025-08-06,516.67,Ayote tierno2025-08-06,Unidad,Unidad,500.0,600.0,500.0
Ayote tierno,2025-08-08,555.56,Ayote tierno2025-08-08,Unidad,Unidad,500.0,600.0,600.0
Ayote tierno,2025-08-11,425.0,Ayote tierno2025-08-11,Unidad,Unidad,400.0,500.0,400.0
Ayote tierno,2025-08-13,418.75,Ayote tierno2025-08-13,Unidad,Unidad,350.0,500.0,400.0
Ayote tierno,2025-08-15,422.73,Ayote tierno2025-08-15,Unidad,Unidad,350.0,500.0,400.0
Ayote tierno,2025-08-18,461.54,Ayote tierno2025-08-18,Unidad,Unidad,400.0,500.0,500.0
Banano maduro criollo,2025-08-01,30.0,Banano maduro criollo2025-08-01,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-04,30.0,Banano maduro criollo2025-08-04,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-05,29.43,Banano maduro criollo2025-08-05,Unidad,Unidad,28.0,30.0,30.0
Banano maduro criollo,2025-08-06,30.83,Banano maduro criollo2025-08-06,Unidad,Unidad,30.0,35.0,30.0
Banano maduro criollo,2025-08-07,30.0,Banano maduro criollo2025-08-07,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-08,29.33,Banano maduro criollo2025-08-08,Unidad,Unidad,27.0,30.0,30.0
Banano maduro criollo,2025-08-11,30.0,Banano maduro criollo2025-08-11,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-12,30.0,Banano maduro criollo2025-08-12,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-13,30.0,Banano maduro criollo2025-08-13,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-14,30.0,Banano maduro criollo2025-08-14,Unidad,Unidad,30.0,30.0,30.0
Banano maduro criollo,2025-08-15,32.0,Banano maduro criollo2025-08-15,Unidad,Unidad,30.0,35.0,30.0
Banano maduro criollo,2025-08-18,30.83,Banano maduro criollo2025-08-18,Unidad,Unidad,30.0,35.0,30.0
Banano maduro criollo,2025-08-19,29.25,Banano maduro criollo2025-08-19,Unidad,Unidad,27.0,30.0,30.0
Banano maduro rechazo de exportación,2025-08-01,2950.0,Banano maduro rechazo de exportación2025-08-01,Caja,Caja,2800.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-04,2955.56,Banano maduro rechazo de exportación2025-08-04,Caja,Caja,2800.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-05,2857.14,Banano maduro rechazo de exportación2025-08-05,Caja,Caja,2800.0,3000.0,2800.0
Banano maduro rechazo de exportación,2025-08-06,2950.0,Banano maduro rechazo de exportación2025-08-06,Caja,Caja,2700.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-07,2815.38,Banano maduro rechazo de exportación2025-08-07,Caja,Caja,2700.0,3000.0,2800.0
Banano maduro rechazo de exportación,2025-08-08,2887.5,Banano maduro rechazo de exportación2025-08-08,Caja,Caja,2700.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-11,2966.67,Banano maduro rechazo de exportación2025-08-11,Caja,Caja,2800.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-12,2875.0,Banano maduro rechazo de exportación2025-08-12,Caja,Caja,2700.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-13,2900.0,Banano maduro rechazo de exportación2025-08-13,Caja,Caja,2700.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-14,2950.0,Banano maduro rechazo de exportación2025-08-14,Caja,Caja,2800.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-15,2825.0,Banano maduro rechazo de exportación2025-08-15,Caja,Caja,2700.0,3000.0,2800.0
Banano maduro rechazo de exportación,2025-08-18,2833.33,Banano maduro rechazo de exportación2025-08-18,Caja,Caja,2500.0,3000.0,3000.0
Banano maduro rechazo de exportación,2025-08-19,2820.0,Banano maduro rechazo de exportación2025-08-19,Caja,Caja,2700.0,3000.0,2700.0
Banano verde rechazo de exportación,2025-08-01,2950.0,Banano verde rechazo de exportación2025-08-01,Caja,Caja,2800.0,3000.0,3000.0
Banano verde rechazo de exportación,2025-08-04,2950.0,Banano verde rechazo de exportación2025-08-04,Caja,Caja,2800.0,3000.0,3000.0
